state,visited
Alabama,0
Alaska,0
Arkansas,0
Arizona,2
California,0
Colorado,2
Connecticut,0
Delaware,0
Florida,1
Georgia,0
Hawaii,0
Iowa,1
Idaho,0
Illinois,4
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,4
Massachusetts,3
Michigan,1
Minnesota,0
Missouri,0
Mississippi,4
Montana,0
North Carolina,1
North Dakota,0
Nebraska,0
New Hampshire,1
New Jersey,0
New Mexico,0
Nevada,2
New York,1
Ohio,1
Oklahoma,0
Oregon,0
Pennsylvania,3
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,4
Utah,0
Virginia,3
Vermont,0
Washington,4
Wisconsin,1
West Virginia,0
Wyoming,0
